Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
20.133779828097964,87.74882820818387,,High,No,6.818564826893212,64.16432924387857,Low,Yes,0.45952607593740025,Low,Medium,Public,Positive,3.213625429111901,No,High School,Near,Male,68.29432374945293
20.318255731210005,64.87803409420017,Low,Medium,No,8.539797777335743,165.16375788904224,Low,,,Medium,Medium,Public,Negative,4.016939489138331,No,College,Moderate,Female,61.096200989422506
24.705809030613054,98.10389905860755,Medium,Medium,Yes,6.750285764890277,88.15030979090196,Medium,Yes,1.7418086589709567,Medium,Medium,Public,Neutral,3.8619020842397114,No,Postgraduate,Near,Male,72.83392389447505
28.164163691211275,92.45434155131045,Low,Medium,Yes,8.519460663062175,97.5489159790609,Medium,Yes,0.6078449032400319,Medium,Medium,Public,Negative,4.417921666717219,No,High School,Moderate,Male,72.43746771274813
20.408266154713836,95.70699883972073,Medium,Medium,Yes,,63.039774757376755,Medium,Yes,9.21024547533185,Medium,High,Public,Neutral,3.7553893769657347,No,College,Near,,68.58826826802066
18.63877538675153,81.71813388588906,Medium,Medium,,7.92044588037104,94.15506500489768,Medium,Yes,3.0807127979286677,Medium,Medium,,Positive,2.685514825909397,No,Postgraduate,Near,Male,71.55293668184815
25.662411321359382,,Medium,Low??,Yes,6.494035242101539,68.79221677594114,Low,Yes,1.284103161844821,Low,Medium,Private,Neutral,2.2922992209459356,No,High School,Moderate,Male,65.98866323828993
27.306131860047582,79.54510570297438,Low,High,Yes??,6.354412050577279,50.25287231703027,Medium,Yes,0.867509156858001,High,High,Public,Negative,2.5756603368436317,,High School,Far,Male,66.20844166963022
20.128246851407425,84.99394804224099,Medium,High,No,5.591842214779345,79.99564914675257,High,Yes,9.21024547533185,Medium,Low,Private,Neutral,1.2819346471409996,No,College,Near,Male,71.0756580250152
20.53483115516186,95.2287726597036,Medium,Medium,Yes,8.195017186037932,72.28972098793139,Medium,Yes,0.09873403132824568,High,High,Public,Positive,4.825473274246359,No,High School,Moderate,Male,70.39339085888489
,81.76475030034705,Low,High,No,8.151376772788641,91.53583840123903,Medium,No,,Medium,High,Private,Neutral,4.27520690248878,No,College,Moderate,Male,66.86790883867353
19.690605629033115,100.40532751161881,Medium,High,Yes,6.0609666647694675,90.31067140986174,Low,Yes,2.0064904208243988,Low,High,Private,Neutral,1.5526265539368476,No,High School,Near,Male,70.6101625940677
18.613500837661647,81.75307026199012,Medium,Medium,Yes,8.114629978354555,97.29469526842797,Low,Yes,2.593004005600535,Medium,Medium,,Positive,3.5856144010306643,No,High School,Near,Male,69.59420994705049
5.171932765462144,78.2190046978642,Medium,Medium,Yes,7.886772499437798,75.00002704272734,Medium,Yes,1.9899436655179272,Medium,Medium??,Private,Positive,,No,Postgraduate,Near,Male,65.20138232774488
9.57319665323758,78.35120262984827,Medium,High,Yes,7.616159787919613,75.37540316874676,,Yes,,Low,Medium,Private,Neutral,3.9194652906322895,No,Postgraduate,Near,Male,65.3547167658728
17.160661094549965,67.53553000610815,Medium,Medium,No,8.240921398643799,60.601086381602904,Medium,Yes,2.13158607594061,Medium,Medium,Private,Positive,4.254211796705337,No,High School,Near,Female,64.70916231874651
16.323454066822553,57.87316239140292,,Low,Yes,16.15085720064219,57.45289136351765,Low,Yes,0.19821045381221528,High,Medium,Private,Positive,3.141503938286767,No,,Near,Male,60.70817274376468
26.119957586372706,64.9907270639111,Low,Medium,Yes,6.44562267957252,86.1723558707356,Medium??,Yes,1.1006129673671377,Low,High,Public,Neutral,9.428522623403456,No,High School,,Female,66.03258550250597
16.217129059640197,78.3336109313218,Medium,Medium,Yes,9.305208610884687,91.41814094681668,Low,Yes,3.220517435119821,Low,Medium,Public,Positive,1.8930310896365743,,College,Moderate,Female,66.88990127086434
8.84683995017322,69.53264405267318,,High,Yes,6.798484204524735,57.115932992081625,Medium,Yes,3.1783207213041536,Medium,Medium,Private,Positive,3.9267778539094262,No,College,Near,Male,67.57568468778538
29.816999419260128,75.41042840488119,Medium,Medium,No,6.230876328781225,95.74765708998612,High,Yes,0.1187345077128902,High,Medium,Public,Negative,1.041228557028522,No,High School,Moderate,Female,69.11891108797536
18.745616281717194,98.73102835999416,Medium,High,No,6.24388253258054,87.31045619378047,Medium,Yes,1.646794677047796,Medium,High,Public,Neutral,2.6065220134793323,No,High School,Near,Male,70.06028969067243
21.72731973798709,71.69535740328479,Medium,High,No,8.14050158103327,87.50672754482758,Low,Yes,0.7273177034154001,Medium,Medium,,Negative,2.1959574005727296,No??,College,Moderate,Female,65.53146912717881
7.588487015518064,84.58058673248428,High,Medium,Yes,8.350768459904245,90.16937370514168,High,Yes,1.1564337185626437,Low,Medium,Public,Neutral,2.536533603392204,No,High School,,Male,65.61446190051242
18.67147642839972,64.47758286165562,Low,,Yes,4.561649798257205,65.78258367435939,Medium,,1.9077814440080616,Low,Medium,Public,Positive,3.7303418440634584,No,High School,Near,Female,61.45966871168936
23.85609674446929,65.12358750867784,High,Low,Yes,6.105455390060617,55.03736747867399,High,Yes,-0.3270611515453232,High,High,Public,Positive,3.340991522731741,No,Postgraduate,Far,Male,64.89077945411182
13.39880473418337,91.3913020653551,Low,Medium,No,6.3757467772472225,86.16100357303917,Medium,Yes,0.9086245351718168,High,Medium,Public,Negative,1.7688428916457957,Yes,High School,Moderate,Female,64.8819619845484
24.107827883017798,78.85825062927901,High,nan??,Yes,6.0378249303021825,88.79398783892282,Medium,Yes,-0.3734290023241195,High,Medium,Public,Neutral,2.466390102592581,No,College,Moderate,Male,68.3909218160866
17.415559505132542,87.78222645307841,Medium,Medium,No,3.3242102859653864,57.554358820489966,Medium,Yes,1.0428246422177647,Low,Medium,Public,Neutral,2.7404397364998436,No,High School,Moderate,Female,63.47984433286456
,65.4096519537963,High,High,No,4.33423467108115,52.67623540595852,Low,,,Low,Medium,Private,Neutral,2.398496887502298,No,College,Near,Male,61.86875707482675
16.29435946604242,80.74723124145747,Low,Medium,No,5.891034169827253,62.236683958606704,Medium,Yes,0.11891402809914461,High,,Public,Positive,4.108755348777642,Yes,High School,Near,Female,63.03908508928526
31.60851006607367,69.91204973103063,Medium,High,Yes,7.54579774467024,66.04339273575175,Medium,Yes,0.9381676297441908,High,Medium,Public,Negative,3.4354277116860827,No,College,Near,Male,69.72971309902498
18.081722195914228,66.72457431325924,Medium,Medium??,Yes,7.985459994773238,99.10702128983161,,Yes,2.0094458581546077,Medium,High,Public,Positive,2.607476533977957,No,High School,Near,Male,67.33253491475467
14.568150420711257,60.312770946339434,High,Medium,,16.15085720064219,43.68278104753351,Medium??,Yes,1.7151392854156853,Medium,Medium,Public,Neutral,3.327029412806855,No,College,,Female,61.18581832337599
22.03227179261154,68.32732772929639,High,Medium,No,5.085386151960277,95.43961802100279,Medium,Yes,1.8268344665414131,Medium,Medium,Public,Positive,2.4176767554427085,No,College,Moderate,Female,66.7513775993094
13.041841729797385,74.84271298418597,Low,,No,6.053355969225529,83.87439664560246,Low,Yes,0.6470498724926832,Low,Medium,Public,Negative,2.971790400898142,No,High School,Near,Male,59.100392747228206
21.80417317579049,66.16631964985154,Medium,Low,Yes,7.42183367388589,92.67744445118245,Low,Yes,1.5681795868413073,Medium,High,,Positive,2.353386786649729,No,High School,Far,Female,66.1829298756545
12.408165903883223,99.52838353507397,Medium,Medium,No,9.204893097252091,165.16375788904224,Low,Yes,1.291874774672961,Low,Medium,Public,Neutral,4.859486469568866,No,Postgraduate,Near,,67.0401247576373
10.369135981360785,68.22391804816641,Low,Medium,Yes,7.68060111572905,,Medium,Yes??,1.4036823605318829,Low,Medium,Public,Positive,4.995264509007528,No,High School,Near,Female,63.11551347116897
22.335087704549633,68.82720352182473,Low,Medium,Yes,6.250952410912495,95.99163016511022,Low,Yes,,Medium,High,Public,Negative,4.36832923739966,No,High School,Near,Male,64.95247227955957
21.80286252853181,61.76864007175204,High,Medium,No,8.403750302689822,54.14149399808463,Low,Yes,2.364564346939616,High,High,Public,Neutral,0.8238876319560727,No,College,Near,Male,67.36526175556368
23.072788060882726,82.81512680910733,Medium,Medium,Yes,5.653494633149856,50.72764059905348,Low,Yes,1.092321946857456,Medium,High,Public,Neutral,2.4226221010057576,Yes,College,Far,Female,65.18428822875578
,59.878039587427175,Low,High,No,7.08736531156474,101.20924096279657,Medium,,0.5854382771939056,Medium,Medium,Private,Positive,3.462412530189639,No,High School,Moderate,Male,64.71379660560288
19.03315969741531,96.09325508317862,Medium,High,Yes,6.5296915792674115,86.74588090432842,Medium,Yes,2.808162346447647,Medium,Medium,Private,Negative,1.7372911213078137,Yes,College,Near,Male,70.87341328488868
